,D1i_Y_P_A_f,D1i_Y_P_L_f,D1i_Y_P_N_f,D1i_Y_P_P_f,D2i_O_P_A_f,D2i_O_P_L_f,D2i_O_P_N_f,D2i_O_P_P_f,D3i_O_P_A_f,D3i_O_P_L_f,D3i_O_P_N_f,D3i_O_P_P_f,D4i_Y_P_A_f,D4i_Y_P_L_f,D4i_Y_P_N_f,D4i_Y_P_P_f
MRPS14,645,279,315,338,1206,1304,464,770,1209,1081,637,1183,1376,1258,1145,970
TNN,0,0,0,4,0,1,0,0,6,0,0,26,2,4,4,4
KIAA0040,3453,1306,767,3585,5653,7026,1373,8523,9725,6585,3183,16436,10935,6700,4158,19594
TNR,48,40,28,36,18,22,42,18,8,6,14,8,6,0,27,2
TNR-IT1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LINC01657,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,0
LINC02803,4,4,0,0,2,8,2,10,6,8,4,4,11,4,6,1
COP1,1213,704,778,723,1897,1965,896,1190,2338,1686,1576,2241,2637,2417,2736,2704
COP1-DT,6,1,0,2,2,4,0,2,5,10,1,6,1,8,4,8
PAPPA2,0,0,0,0,0,4,4,17,2,4,2,2,0,2,0,2
ASTN1,298,240,110,322,142,28,232,128,26,62,134,70,20,28,30,30
BRINP2,166,168,94,218,96,16,118,88,10,28,100,40,12,6,6,12
LINC01645,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LINC01741,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SEC16B,2,22,8,0,14,12,4,12,2,4,4,8,35,14,10,31
RASAL2-AS1,40,8,15,11,11,4,20,4,40,5,11,40,35,5,33,52
RASAL2,771,251,438,352,477,95,153,221,871,184,502,500,1045,406,821,1235
CLEC20A,2,5,6,4,8,35,21,32,3,6,16,6,9,24,21,23
TEX35,3,0,0,0,8,22,7,6,5,23,4,3,13,23,4,22
C1orf220,7,10,0,8,25,105,39,88,24,80,42,30,54,115,69,74
RALGPS2-AS1,17,25,9,11,29,105,40,63,29,100,29,61,44,95,66,83
RALGPS2,376,452,407,331,1012,2582,707,1011,812,1779,579,1045,1267,2322,1412,1651
ANGPTL1,0,0,0,4,0,2,0,10,0,6,2,2,0,0,0,0
FAM20B,1623,924,945,876,2719,3146,1122,1864,3313,3125,1410,3233,3944,4028,3166,3612
TOR3A,1311,676,659,703,2338,2470,820,1590,3142,2274,1585,3124,3611,2480,2348,2875
ABL2,2309,1138,1005,987,2125,2097,784,1787,4043,3105,1837,3528,2878,2910,2921,3965
SOAT1,2555,1006,959,2043,3354,2767,946,2336,4950,3037,1788,6139,6857,3846,3410,10759
AXDND1,0,0,1,0,7,2,0,0,22,15,4,41,4,2,0,6
NPHS2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TDRD5,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
FAM163A,0,0,0,0,0,2,2,0,0,0,0,0,0,14,4,0
LINC02818,0,4,0,3,1,2,0,0,2,1,11,0,0,0,1,3
TOR1AIP2,1549,671,793,545,2447,2000,954,1221,3279,2530,1239,2364,3011,2771,2242,2256
TOR1AIP1,2488,1326,1367,1597,4208,4673,1662,2868,6053,4418,2915,5310,6270,5713,5324,6149
CEP350,4379,2755,3068,1924,5647,8512,3386,4396,8252,10890,3682,7798,7001,9806,7224,8530
QSOX1,1737,1231,1659,938,2264,2632,1896,1335,3836,3157,5385,3053,4227,4183,7932,4119
LHX4,135,101,129,74,206,436,150,308,316,720,251,257,296,420,418,264
ACBD6,1370,420,525,385,2054,2028,741,1113,2699,2230,1185,1579,2694,2346,2175,1425
OVAAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
XPR1,1246,629,673,494,1941,1639,664,868,2650,1847,1145,1376,2511,1992,1971,1538
LINC02816,1,0,2,0,0,0,0,0,5,4,5,0,3,0,0,0
KIAA1614,62,54,94,22,135,230,86,135,169,309,159,170,178,194,248,134
KIAA1614-AS1,34,20,29,6,53,60,13,45,73,83,38,52,56,69,82,43
STX6,1406,549,1007,541,2167,2635,1107,1465,3117,2397,1529,2120,2436,2426,3181,2232
MR1,1386,808,1021,1179,2220,3806,1355,2852,3976,4034,2010,5969,3059,3736,3266,4226
IER5,4645,2944,2164,3020,5792,9079,1895,5860,9781,10644,6945,13955,9956,15856,12325,16026
LINC01732,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,2
LINC01699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CACNA1E,86,46,28,62,42,63,44,28,28,65,28,16,46,50,12,28
ZNF648,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1
LINC01344,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0
GLUL,9189,3288,16832,18493,12619,4543,12262,22620,51071,7579,39462,37188,25111,11854,64215,100933
TEDDM1,0,0,4,0,0,0,4,0,4,2,0,6,0,4,0,2
LINC00272,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,0
RGSL1,0,0,0,10,0,4,5,0,0,3,5,1,0,0,2,0
RNASEL,511,284,539,430,673,1399,712,1294,1183,1591,804,1641,1345,1421,1649,2093
RGS16,2362,279,114,108,2505,373,16,109,2199,399,296,345,4617,1100,697,554
LINC01686,4,0,0,4,4,1,0,0,8,0,4,0,4,10,9,8
RGS8,0,44,12,14,10,2,2,16,4,2,10,4,4,0,2,3
LINC01688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NPL,813,285,3195,2280,583,344,2307,1949,2394,654,1524,2325,1710,837,9315,10918
DHX9-AS1,400,117,97,69,554,367,118,210,716,399,194,349,707,516,361,323
DHX9,12416,3482,3594,2895,21049,13443,4105,6627,26392,14215,6361,11344,27651,18775,13311,12594
SHCBP1L,0,4,0,10,0,0,0,0,0,0,0,0,0,0,0,0
LAMC1,337,472,313,182,258,626,360,266,219,1059,416,465,350,1678,1782,806
LAMC1-AS1,0,0,1,0,0,0,0,3,0,4,0,1,0,5,12,0
LAMC2,8,705,0,59,6,434,8,54,22,2001,36,389,2,2497,127,136
NMNAT2,94,64,30,74,24,11,66,52,2,35,38,11,3,4,34,16
SMG7-AS1,47,20,13,26,74,86,16,135,124,59,16,110,84,107,57,77
SMG7,5094,2311,2114,2423,7585,9090,2532,6387,10326,9429,3600,9344,10601,9767,7259,9866
NCF2,4578,871,5845,4045,3857,1120,2389,4094,7989,1998,12070,8955,14628,4668,20572,27911
ARPC5,5927,2616,5486,4877,9476,9668,5500,7407,12745,8358,9138,13937,16489,13655,20123,24892
RGL1,1995,840,3884,7355,1022,1055,4325,7332,7765,2940,3178,14146,4542,3125,16794,42802
APOBEC4,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
COLGALT2,90,167,240,148,166,1059,405,519,117,657,307,270,257,850,864,604
TSEN15,1600,487,500,460,2702,1879,720,1069,3498,2043,927,1965,2826,2054,1430,1532
C1orf21-DT,0,2,2,2,2,10,6,2,0,10,0,2,2,0,7,2
C1orf21,795,1189,1224,542,460,3106,1116,1099,832,2135,1173,1403,776,2926,2847,1589
EDEM3,1444,728,1132,605,2106,2428,1254,1312,2862,2799,1615,1983,2326,2877,3157,2201
NIBAN1,5443,2962,2213,2367,9386,11670,2765,6072,12889,12912,6166,14865,11567,13512,7825,11429
LINC01633,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0
RNF2,796,375,395,366,1511,1243,420,543,1554,1136,672,1106,1795,1551,1395,1348
TRMT1L,736,459,504,494,1481,1575,650,992,1783,1568,1023,1775,2145,1964,1701,2209
SWT1,322,192,130,242,347,615,223,462,560,550,357,756,615,664,670,1096
IVNS1ABP,5039,3629,3048,1746,14791,12708,4173,6862,12394,11066,6487,9335,12120,10836,10328,6997
LINC01350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HMCN1,38,26,24,26,30,18,22,13,0,14,15,10,4,5,16,12
PRG4,295,164,91,86,446,485,119,289,859,729,273,508,452,470,288,322
TPR,8422,4548,4352,3525,12369,17710,5164,8634,16085,19314,7253,12708,15993,17121,13289,13666
ODR4,698,258,322,286,963,921,453,520,1114,848,493,866,1217,1180,1255,1177
PDC-AS1,11,12,1,2,21,12,14,10,25,47,21,23,16,10,14,24
PDC,0,0,0,0,1,0,0,0,2,6,2,0,0,0,0,3
PTGS2,458,6290,26,39,376,6192,74,90,1209,10327,3850,853,473,46853,36283,325
PACERR,0,0,0,0,2,0,0,0,1,4,2,2,0,7,4,0
PLA2G4A,74,100,190,235,52,148,287,260,174,248,240,390,190,770,1247,878
LINC01036,16,10,0,0,23,22,8,8,21,26,7,5,35,16,28,15
LINC01035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LINC01701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BRINP3,90,58,32,50,60,0,38,22,2,6,16,20,8,2,14,6
BRINP3-DT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LINC01720,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0
LINC01680,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LINC02770,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0
RGS18,82,36,66,60,64,66,150,68,36,72,77,75,104,209,227,218
RGS21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RGS1,3637,2290,504,2148,4420,7108,246,2955,13676,8331,2227,17654,8344,11624,3854,5385
RGS13,2,6,0,2,6,5,0,2,17,10,2,21,10,38,8,31
RPS27AP5,114,56,58,34,168,221,66,59,132,85,130,116,224,140,167,125
RGS2,398,1405,821,528,270,4091,682,1064,342,2283,1716,1266,564,4083,3017,1563
UCHL5,1908,542,489,404,3416,1940,794,944,3626,1638,800,1566,3775,2094,1620,1594
RO60,1724,809,969,734,2388,2835,952,1879,3104,2791,1011,2411,3089,3568,2480,2936
GLRX2,588,240,360,162,1122,811,352,453,1236,808,590,654,1218,926,881,696
CDC73,2403,969,984,987,3573,3169,989,2187,4456,2759,1399,3556,4380,3906,2990,4446
B3GALT2,150,96,128,88,196,362,190,214,84,224,145,126,144,126,140,138
LINC01031,0,0,2,0,0,2,4,2,0,4,0,2,3,10,3,2
LINC01724,2,2,0,0,0,2,0,0,6,14,12,18,2,6,0,2
KCNT2,14,22,10,30,8,0,20,26,2,10,16,8,2,0,6,2
CFH,96,74,53,128,159,360,172,391,180,312,122,421,126,184,120,255
CFHR3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CFHR1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CFHR4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CFHR2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CFHR5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F13B,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
ASPM,82,38,40,48,211,60,24,48,190,112,24,38,255,98,42,53
ZBTB41,316,292,270,230,625,1155,447,681,745,959,394,984,725,1103,813,1109
CRB1,0,0,2,0,5,7,10,10,2,0,0,9,2,8,2,11
DENND1B,1381,388,462,1015,1961,1270,568,1997,2871,1246,472,3778,2708,1354,1159,4403
C1orf53,22,4,2,3,4,2,6,6,28,4,6,18,52,6,28,15
LHX9,0,6,0,0,0,2,2,4,4,1,0,2,0,0,0,4
NEK7,2471,1251,1572,1232,3584,4259,1700,2558,4193,3474,2537,4256,4801,4514,4550,5071
ATP6V1G3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
PTPRC,24003,20918,24160,19061,42965,99354,34435,53055,49299,89420,42827,76144,48629,78548,70712,76879
MIR181A1HG,0,0,0,2,2,5,0,0,0,7,27,2,2,2,10,7
LINC01222,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
LINC01221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LINC02789,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
NR5A2,6,14,8,12,3,16,4,8,0,38,2,16,4,21,6,24
LINC00862,0,0,6,0,2,3,0,0,4,17,8,0,2,12,2,6
ZNF281,1478,1034,720,790,2095,2282,848,1525,2609,2659,1174,2579,2489,3035,2328,2936
KIF14,34,14,20,4,100,31,10,18,83,50,26,12,202,79,25,26
DDX59,835,464,449,513,1245,1822,556,1331,1501,1488,1075,1765,1626,1784,1884,2233
DDX59-AS1,4,7,3,0,7,6,0,6,9,9,4,16,5,3,7,11
CAMSAP2,689,203,645,599,605,368,498,847,709,551,673,971,1170,856,2130,3437
GPR25,28,17,23,15,36,75,56,47,60,121,68,63,83,95,113,93
INAVA,40,36,13,10,24,34,6,6,43,38,33,6,82,38,23,5
KIF21B,5611,3476,3740,2366,8597,14203,5623,9833,14126,15741,5637,10296,9923,13234,10299,9254
CACNA1S,0,0,8,2,8,0,2,14,1,0,0,0,0,0,1,0
ASCL5,6,0,3,2,8,14,8,12,15,18,12,4,4,6,8,5
TMEM9,342,295,312,214,357,698,349,446,644,741,660,677,634,826,736,500
IGFN1,2,448,0,0,4,61,0,0,22,218,106,22,0,298,233,4
PKP1,2,8,0,8,2,0,0,8,2,35,4,120,0,6,2,18
TNNT2,20,66,97,11,19,83,26,83,66,357,212,194,68,167,218,141
LAD1,274,1180,169,451,222,1075,71,739,1968,4734,2212,5707,989,4209,1995,2101
TNNI1,2,9,4,10,1,6,0,2,7,10,14,16,5,36,35,2
PHLDA3,124,89,158,97,126,101,53,118,161,185,136,253,192,224,168,198
CSRP1,1781,780,1047,585,2526,2272,1403,1294,3840,2671,2696,3020,3775,3019,4425,2536
CSRP1-AS1,42,23,17,18,55,62,46,64,71,139,18,43,83,108,76,70
NAV1,428,788,354,354,397,579,461,535,1108,2780,1017,2289,621,2837,2312,1015
IPO9-AS1,211,125,126,91,345,289,74,193,440,381,184,346,347,426,355,282
IPO9,2996,1430,1481,1281,4879,4483,1897,2534,6747,5264,2388,4169,6127,5032,4600,4279
SHISA4,97,152,59,80,124,50,84,88,33,99,73,62,61,43,89,97
LMOD1,4,0,0,0,7,6,0,0,0,8,0,0,0,4,0,5
TIMM17A,1799,437,520,444,3445,1407,497,775,4029,1485,1149,1675,4027,1864,1841,1553
RNPEP,1200,619,1178,785,1537,1817,1468,1544,2783,2123,1844,2522,3049,2867,5381,4784
ELF3-AS1,291,219,269,180,437,566,387,519,712,687,540,567,832,769,1422,1298
ELF3,2,9,6,12,6,11,8,24,12,42,44,50,18,34,52,32
GPR37L1,228,133,74,189,123,72,85,181,127,91,117,154,114,119,96,215
ARL8A,2165,1036,1309,1850,2744,3138,1300,2784,5912,3403,2508,5466,4245,3974,6079,10344
PTPN7,6055,1104,1373,737,9926,4087,1398,2175,14594,3856,2585,2986,14571,5621,4466,3601
LGR6,42,56,97,54,85,565,280,227,10,150,85,32,45,254,315,140
UBE2T,334,50,26,32,938,182,54,65,862,186,102,116,1025,247,110,64
PPP1R12B,556,439,532,392,941,2061,766,1068,1268,2046,754,1275,1061,1618,1500,1344
SYT2,25,20,9,32,33,40,13,15,24,79,38,45,33,33,44,32
KDM5B,1858,1291,1028,756,1984,3120,863,1621,3376,3692,1679,2882,2611,4387,2761,2842
PCAT6,10,7,0,2,1,24,4,5,8,45,7,4,6,21,12,6
RABIF,673,300,449,359,989,1308,486,778,1422,1361,748,1314,1491,1475,1484,1487
KLHL12,1402,602,729,774,2228,2324,958,1298,3479,2338,1444,2334,3170,2774,2575,2585
ADIPOR1,3103,1684,1904,1963,5276,5757,1931,3005,8126,5503,5343,6212,6904,7531,9674,8419
CYB5R1,756,394,626,516,1351,1673,677,1169,2027,1631,1449,1989,1693,1981,2677,2082
TMEM183A,1329,559,696,567,1904,2684,782,1494,2562,2033,1384,2231,2487,2640,2447,2018
PPFIA4,100,154,70,117,118,84,158,140,44,110,118,38,36,56,93,50
MYOG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADORA1,66,32,42,68,78,7,68,22,4,20,20,24,17,10,8,6
MYBPH,8,12,2,6,0,2,0,6,6,0,33,0,4,0,6,18
CHI3L1,880,112,137,35,1133,152,34,16,2079,438,1228,216,2635,363,569,286
CHIT1,11,4,12,1,29,30,65,10,4,17,12,23,30,91,78,62
LINC01353,6,0,2,6,14,14,0,6,16,2,15,6,16,26,39,13
BTG2-DT,7,6,5,8,3,6,2,6,22,2,9,2,20,38,22,22
BTG2,7305,3970,4358,3495,10812,19447,6687,8655,12760,19701,14939,14022,17342,23546,28978,17813
FMOD,2,34,14,24,12,12,8,10,2,4,6,0,6,6,6,4
PRELP,6,2,4,8,12,0,0,6,0,0,2,6,0,0,0,0
OPTC,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
ATP2B4,5816,5215,4488,3709,8529,18453,6359,10191,19448,29019,10395,14564,8013,16721,11631,13773
LAX1,1247,722,644,855,1456,3181,1203,2612,1605,2512,952,2916,2074,2206,1680,2573
ZC3H11A,6766,4261,4026,3111,9057,15639,4930,9422,12672,16328,6459,11756,12794,16524,14050,13772
ZBED6,6835,4298,4095,3124,9142,15823,4985,9518,12841,16650,6506,11865,12943,16707,14211,13931
SNRPE,1941,310,303,336,3576,1084,501,569,3380,1097,733,1325,3659,1501,1064,989
LINC00303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
SOX13,204,175,203,67,188,576,302,317,176,495,261,239,241,605,706,438
ETNK2,74,80,72,50,84,222,37,152,122,246,78,258,183,256,190,151
ERLNC1,2,11,10,6,5,16,5,11,12,16,6,8,5,20,13,15
REN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KISS1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GOLT1A,0,0,0,0,0,1,0,0,0,0,3,0,2,0,0,2
PLEKHA6,178,76,62,86,98,68,88,145,134,155,63,161,99,60,64,43
LINC00628,0,0,2,0,0,0,0,0,0,2,2,0,0,0,0,0
PPP1R15B-AS1,1,0,0,0,12,7,0,0,2,24,2,5,7,6,6,1
PPP1R15B,5968,3173,2543,2393,8705,9470,2701,5579,13890,11289,4706,11571,11163,14239,9247,9505
PIK3C2B,947,797,604,366,1950,4828,952,1329,2538,6602,1495,2152,2093,5345,2633,2187
MDM4,1514,1236,1149,1029,2370,4986,1713,3751,3392,7721,2480,4878,3186,5070,4233,4683
LRRN2,445,355,276,415,469,1193,444,1726,1152,3079,568,4667,763,1169,632,1364
NFASC,249,308,100,300,226,48,178,142,25,85,113,93,32,30,42,38
CNTN2,106,76,22,26,36,12,38,80,4,14,48,18,16,4,4,12
TMEM81,50,57,26,26,37,72,24,44,55,60,46,68,72,87,54,63
RBBP5,1526,654,762,658,2541,2746,856,1369,3322,2478,1136,2748,3192,3252,2502,2682
DSTYK,819,398,579,322,1014,1862,803,883,1537,2034,1119,1317,1422,1751,1603,1293
TMCC2,330,219,150,210,403,202,241,143,559,322,417,188,368,316,459,156
TMCC2-AS1,0,0,0,0,0,2,0,0,0,0,0,0,8,0,0,0
NUAK2,324,562,512,314,523,2382,890,1512,927,2222,1470,2148,953,1927,1929,1825
KLHDC8A,48,24,0,6,11,8,10,24,0,4,4,13,0,2,4,8
LEMD1-AS1,0,0,0,0,0,2,6,0,0,5,1,6,0,7,0,8
LEMD1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
BLACAT1,0,6,4,0,1,10,4,10,13,2,5,0,4,10,5,2
LEMD1-DT,0,0,1,0,1,2,2,0,3,4,2,0,2,0,2,0
CDK18,185,84,76,222,158,200,118,581,359,335,102,744,454,218,162,932
MFSD4A,57,67,27,34,45,129,56,117,104,180,117,105,101,121,130,108
ELK4,4625,2437,1529,2069,7306,8475,2261,6201,8664,10975,3005,9041,9856,10405,5457,9808
SLC45A3,98,39,92,24,79,102,93,50,177,170,74,65,168,250,390,180
NUCKS1,5864,1931,2503,2066,10134,8963,2868,3830,12397,8460,4183,6578,11558,10035,7907,6999
RAB29,2756,1440,959,1184,6818,6605,1445,3874,10155,6571,2517,9060,7644,7605,3867,4995
SLC41A1,1825,714,513,567,3097,3431,726,1541,4993,3266,1008,2141,3602,3756,2293,1921
PM20D1,8,8,13,4,4,20,11,0,47,92,32,39,24,25,20,29
SLC26A9,2,8,0,8,10,36,0,36,110,186,37,334,21,185,68,64
RAB7B,786,8,1089,410,358,8,544,236,354,32,564,322,1490,50,2851,2317
CTSE,0,0,0,0,1,4,0,0,0,8,0,6,2,0,0,2
RHEX,36,40,18,29,51,143,39,84,38,135,32,104,87,196,60,105
AVPR1B,12,0,2,0,0,6,0,2,4,2,2,2,22,6,11,10
AVPR1B-DT,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0
FAM72A,6,15,7,35,40,14,16,87,59,14,12,109,61,23,41,232
SRGAP2,1468,849,674,2595,1409,2138,966,5308,3265,3017,1259,7932,3130,2802,3069,16194
IKBKE,917,628,971,1302,1702,3038,1226,3501,2556,3297,2757,4684,3705,3844,4239,8985
C1orf147,73,69,42,87,87,219,106,213,142,250,155,277,220,238,252,554
RASSF5,10796,4476,5354,3961,16973,21909,7554,11662,24220,21592,13815,18532,23335,22051,18528,16797
EIF2D,1304,580,780,539,1978,2941,983,1388,2566,2724,1719,1863,2900,2894,2516,2028
DYRK3-AS1,26,57,0,3,40,21,0,4,52,40,6,22,38,68,19,21
DYRK3,238,462,52,48,420,268,32,64,553,501,162,224,663,1085,450,324
MAPKAPK2,5457,4129,3906,2807,7820,12782,4012,6986,12845,13099,7875,11844,11250,17935,17737,12697
IL10,1464,2167,309,169,1756,1368,232,36,4054,3678,1080,1092,1976,5756,3405,1206
IL19,278,814,54,60,378,501,63,11,981,1145,719,392,451,1860,1168,344
IL20,0,4,0,0,0,12,0,1,0,4,1,5,2,11,0,6
IL24,168,2365,406,189,245,2674,706,943,284,2994,2257,1068,445,6657,4538,1062
FCMR,1379,2459,3652,1928,2113,16380,7769,11268,2824,13348,9806,13949,4448,10068,15733,13577
PIGR,2,0,0,2,8,6,10,0,6,4,0,2,4,12,16,5
FCAMR,0,70,0,0,6,34,0,4,4,86,1,20,2,118,46,0
C1orf116,0,0,2,8,2,4,1,0,0,6,0,4,0,10,2,4
PFKFB2,351,197,185,164,500,808,296,424,655,693,260,437,714,869,783,737
YOD1,562,256,322,266,907,1059,438,678,1164,986,394,772,1046,1295,839,932
C4BPB,8,2,1,10,12,27,0,46,42,31,4,28,44,69,11,24
C4BPA,2,3,0,8,0,2,0,0,0,7,0,0,1,0,0,0
LINC02942,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CD55,2186,1073,815,535,3423,3198,1031,1508,5311,3605,3357,3159,3511,6148,6002,3375
CR2,66,56,54,46,195,529,160,276,184,748,93,338,423,829,319,447
CR1,6,38,102,12,30,131,170,51,44,177,158,51,28,131,229,50
CR1L,6,0,0,10,2,0,4,14,8,8,0,54,9,4,10,77
CD46,3091,2150,2943,2095,5116,8102,3326,5355,6308,6483,3816,6195,6518,8293,7560,7637
MIR29B2CHG,393,235,317,177,426,1184,390,853,843,1800,886,896,858,1445,1021,1209
CD34,16,24,8,20,12,20,52,26,18,52,58,52,84,158,188,237
LINC02767,0,0,0,0,0,0,0,2,0,4,0,2,0,4,4,4
PLXNA2,192,206,230,186,158,189,321,197,139,171,309,154,124,199,692,429
LINC01735,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LINC02769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LINC01717,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LINC01774,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LINC01696,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LINC01698,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MIR205HG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CAMK1G,144,62,6,50,87,14,8,24,321,78,45,198,261,41,24,45
LAMB3,223,273,78,86,210,145,180,82,1008,424,480,669,511,522,715,157
HSD11B1-AS1,12,12,8,0,16,18,2,6,66,12,42,25,15,15,27,10
G0S2,1132,770,26,26,1053,733,32,18,3290,1809,1045,528,1774,1687,1330,44
HSD11B1,153,4,0,2,304,10,2,6,1579,12,358,192,624,30,48,46
TRAF3IP3,3423,1753,3348,1738,6793,11942,6523,8721,6355,10424,7294,7482,9748,7923,9360,7625
C1orf74,884,486,970,539,1835,3075,1698,2140,1601,2358,1999,1959,2353,2097,2410,1958
IRF6,66,34,28,40,94,216,51,126,28,42,12,22,28,60,34,62
UTP25,1374,553,455,466,2361,2073,639,1288,2697,2456,1023,1972,3088,2591,1923,1950
SYT14,16,2,6,12,0,2,0,0,4,0,5,2,0,0,2,4
SERTAD4-AS1,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0
SERTAD4,20,18,0,14,5,2,6,4,0,0,10,0,4,0,0,0
HHAT,46,36,60,20,86,176,65,84,103,246,100,196,125,202,199,196
KCNH1,44,82,54,66,54,10,41,38,15,20,26,5,10,13,22,20
KCNH1-IT1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
RCOR3,824,738,923,542,1218,2939,961,1457,1751,2953,1346,1736,1727,2798,2494,2287
TRAF5,1163,899,1143,931,1768,4075,1556,3064,2471,4908,2117,3919,2361,3769,2939,4251
LINC00467,48,52,70,38,81,76,82,99,95,139,130,186,123,103,148,114
RD3,0,2,1,0,0,1,0,0,1,3,3,1,0,0,3,0
SLC30A1,1680,1296,1848,2449,2064,2264,1690,2973,5438,2599,2566,5501,3262,4220,6802,15405
LINC01693,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NEK2,33,26,16,12,86,34,20,21,54,28,14,6,172,22,26,22
NEK2-DT,1,4,2,0,0,4,0,7,1,0,0,1,5,2,6,14
LPGAT1,1846,1177,1868,1098,2751,3660,1785,1831,3369,3302,1838,2674,3393,4084,4666,3269
LPGAT1-AS1,0,0,0,1,1,0,0,0,2,3,0,3,1,0,8,0
INTS7,948,298,299,384,1776,1175,331,693,2229,1068,462,1170,2417,1347,1032,1255
DTL,1114,60,14,24,2872,103,24,34,2656,136,40,61,3768,361,42,84
LINC02608,0,0,0,0,0,0,0,2,4,0,0,0,2,1,4,0
PPP2R5A,2060,1373,1494,1351,3269,5729,1931,2594,3834,4065,2454,4581,4515,6188,4767,5120
PACC1,582,333,502,539,824,812,456,638,1387,1092,1061,1353,1287,1002,1895,2581
NENF,740,332,570,468,980,872,570,672,1404,915,1275,1422,1516,1279,1893,2277
LINC02771,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
LINC01740,0,0,2,0,2,0,0,0,0,0,0,11,2,0,0,0
ATF3,4541,650,801,5433,2530,999,186,5397,7164,1541,951,13754,7023,2406,1973,17880
GARIN4,10,0,0,8,0,0,0,4,0,0,0,14,10,8,12,16
LINC02773,26,0,0,24,7,2,6,22,28,2,8,57,20,4,11,63
BATF3,1421,104,18,175,3050,332,48,521,4638,425,233,1609,2443,569,138,688
NSL1,967,358,554,543,1629,1628,744,948,1908,1518,1155,1642,1863,1761,1848,1898
TATDN3,297,138,238,167,635,504,324,475,768,441,344,604,640,600,750,1023
SPATA45,4,0,3,0,2,6,1,5,0,5,1,8,3,0,1,1
FLVCR1-DT,14,32,48,32,73,108,86,85,18,45,18,26,26,28,23,32
FLVCR1,569,173,272,178,939,628,276,387,1083,790,347,544,951,672,500,512
VASH2,42,30,4,38,24,39,20,42,60,97,38,70,46,54,33,134
ANGEL2,1122,700,774,614,1684,2177,1026,1581,2184,2472,1122,2043,2306,2609,2173,2210
RPS6KC1,730,539,499,653,1087,1387,593,1278,1509,1430,792,2234,1633,1902,1766,2793
PROX1-AS1,0,3,1,4,0,1,1,0,0,0,0,0,0,1,2,0
LINC00538,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,2
