,D1i_Y_P_A_f,D1i_Y_P_L_f,D1i_Y_P_N_f,D1i_Y_P_P_f,D2i_O_P_A_f,D2i_O_P_L_f,D2i_O_P_N_f,D2i_O_P_P_f,D3i_O_P_A_f,D3i_O_P_L_f,D3i_O_P_N_f,D3i_O_P_P_f,D4i_Y_P_A_f,D4i_Y_P_L_f,D4i_Y_P_N_f,D4i_Y_P_P_f
LINC01374,0,0,4,0,0,0,0,2,0,2,6,2,2,7,2,1
LINC01375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LINC02653,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
HTR7,18,84,52,28,38,50,126,24,58,122,144,58,34,204,321,40
RPP30,852,312,297,240,1595,888,324,540,2327,934,467,910,1872,1311,974,934
ANKRD1,532,46,34,1357,234,122,35,2171,201,21,55,2299,481,49,26,3558
LINC00502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PCGF5,5173,2427,1678,3497,6518,7575,1923,6859,8301,6996,2935,12994,9619,9471,5502,12783
HECTD2,218,108,104,74,240,167,141,124,201,200,84,128,244,180,246,219
PPP1R3C,2,10,4,4,0,2,2,10,0,0,0,6,2,0,2,2
TNKS2-DT,16,5,0,2,13,14,2,12,23,19,7,42,37,40,12,29
TNKS2,4380,2640,2783,2945,5604,8541,3182,5710,8622,7869,3561,8485,8365,9744,7632,10540
FGFBP3,107,53,92,48,121,319,99,133,130,239,150,142,118,158,187,119
BTAF1,4490,2835,2693,1918,6747,9745,3437,6281,8352,9527,3837,6140,8658,10884,7988,8666
CPEB3,386,223,232,306,308,430,240,535,417,487,286,728,501,515,363,989
MARCHF5,1084,711,610,727,1406,1834,766,1327,2003,1607,1187,2063,1874,2045,1950,2419
IDE,1495,473,613,433,2511,1724,779,978,2857,1642,849,1228,2656,2199,2056,1434
KIF11,157,68,56,48,587,160,70,55,564,166,141,108,742,256,134,132
HHEX,72,104,297,113,165,574,361,264,150,309,282,271,287,588,1040,642
EXOC6,568,276,304,288,981,771,330,585,1169,813,446,931,1183,1047,831,1097
CYP26C1-DT,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0
CYP26C1,6,0,2,0,0,0,0,0,0,4,0,8,4,2,0,0
CYP26A1,0,0,4,6,0,0,0,0,0,0,0,0,0,2,0,0
MYOF,1388,194,846,1109,1646,174,1803,1723,6120,374,3088,4175,4691,432,5800,8677
CEP55,196,24,24,20,372,46,40,22,238,36,16,20,594,56,38,30
FFAR4,0,0,20,0,3,0,18,0,0,0,0,0,2,0,68,0
RBP4,10,4,0,16,0,2,0,0,0,8,0,0,0,2,2,6
PDE6C,2,2,6,3,23,14,6,17,9,40,8,13,6,10,18,10
FRA10AC1,545,284,367,205,992,1062,367,566,1139,1359,765,851,1073,1231,1005,823
LGI1,162,214,68,140,146,24,109,74,25,40,58,48,6,28,17,16
SLC35G1,109,38,31,20,172,141,46,61,252,150,98,110,182,154,135,82
PLCE1,133,53,54,64,177,156,50,129,175,197,138,118,232,218,99,138
PLCE1-AS2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PLCE1-AS1,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
NOC3L,1455,434,358,412,2847,1764,403,936,3001,1462,440,1406,3207,2127,1205,1537
TBC1D12,121,142,270,190,94,215,229,218,328,285,385,632,243,574,981,994
HELLS,438,77,47,42,1280,248,87,128,1032,255,93,122,1611,403,182,216
CYP2C18,0,0,0,0,4,0,0,0,7,0,0,0,0,1,0,0
CYP2C19,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0
CYP2C9,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
CYP2C8,6,0,0,0,1,10,2,4,4,4,4,8,18,15,12,10
ACSM6,0,0,0,0,4,0,0,5,2,0,2,2,0,0,0,0
PDLIM1,287,318,198,241,445,1399,304,483,455,1111,338,688,799,1450,832,952
SORBS1,164,105,70,142,183,152,141,133,100,164,103,130,157,145,74,134
ALDH18A1,2692,478,521,489,4554,2133,648,1197,5053,2744,1210,1962,5816,2908,1684,1899
TCTN3,1052,605,551,408,1645,1508,569,798,2615,2590,1078,1789,2106,2455,1712,1234
ENTPD1,992,865,592,315,1804,2841,1040,644,2566,5749,1345,1554,2769,5337,2853,1780
ENTPD1-AS1,718,365,267,155,1345,1420,444,384,1626,2463,631,802,1681,2044,1174,816
CC2D2B,52,15,15,2,58,36,12,9,62,40,35,39,40,42,30,14
CCNJ,468,245,234,227,773,576,213,444,1117,581,297,743,864,759,791,1229
ZNF518A,988,520,621,568,1608,2364,951,1531,2161,2671,990,2113,2052,2675,2234,2865
BLNK,387,229,281,542,686,1656,457,1329,893,1183,402,1740,1431,2182,2052,4259
DNTT,0,0,2,0,2,8,6,0,0,4,6,0,2,10,4,0
OPALIN,6,0,8,0,0,0,0,2,0,0,0,0,0,0,0,2
TLL2,6,22,4,8,4,18,0,2,6,14,2,20,0,5,0,6
TM9SF3,4391,2541,2855,2078,6134,6561,3089,3743,7841,6333,3762,5741,8273,8537,8392,7377
PIK3AP1,5408,3831,3275,4784,7032,9245,3514,9505,16783,11285,6974,17396,8407,15691,15742,22198
LCOR,1861,1068,1068,890,2734,3453,1298,2355,4283,5161,1679,3834,3358,4109,3134,3787
SLIT1,154,143,116,127,121,89,96,110,57,154,103,128,56,110,93,132
SLIT1-AS1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARHGAP19,517,327,450,310,991,1514,555,588,1498,1448,879,871,1427,1640,1510,1089
FRAT1,169,212,352,216,202,1154,570,634,254,940,756,854,318,898,1242,782
FRAT2,306,274,480,186,446,1480,754,773,602,1076,1044,1054,749,1120,1744,1219
RRP12,3622,577,447,439,6506,2251,685,1340,8618,2734,1139,1866,7923,3564,2101,2182
PGAM1,3093,562,481,617,5420,1375,757,972,7337,2111,1542,2726,7303,2604,2511,2569
EXOSC1,1185,390,394,397,1755,1506,469,890,2331,1586,1064,1619,2304,1722,1698,1330
ZDHHC16,1716,442,398,396,3043,1823,520,1021,3761,2442,1601,1932,3741,2347,1964,1764
MMS19,2417,1229,1331,971,3799,5769,1591,2966,5020,5181,2840,3525,5677,5364,4845,3773
UBTD1,286,39,224,116,202,271,198,137,300,268,535,345,402,364,986,610
ANKRD2,0,2,0,0,0,0,0,0,0,0,0,0,2,2,0,1
HOGA1,0,0,14,0,0,0,0,0,1,0,0,0,0,0,0,0
C10orf62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MORN4,58,41,54,28,72,159,56,60,76,92,76,19,67,78,87,30
PI4K2A,1673,804,2621,1569,1835,2760,1927,2006,3080,2337,2623,3072,3604,3562,8483,8913
AVPI1,66,62,280,130,56,74,96,104,140,78,167,236,204,151,695,532
MARVELD1,72,34,248,40,66,34,324,72,92,36,100,68,154,42,832,191
ZFYVE27,1073,865,927,614,1692,3444,1177,2091,2388,3074,1992,2808,2593,3425,3391,3210
SFRP5,16,2,32,12,10,54,102,24,5,18,38,18,16,22,66,8
GOLGA7B-DT,0,0,0,0,0,5,0,2,1,3,2,6,5,3,3,0
GOLGA7B,249,99,142,174,413,540,459,414,704,709,691,655,378,384,541,431
CRTAC1,175,170,71,156,87,29,88,94,38,55,80,54,16,49,25,40
R3HCC1L,926,555,514,588,1417,1952,642,1166,1812,1822,930,1996,1733,2092,1810,2554
LOXL4,18,10,12,10,4,18,9,10,10,29,6,19,9,40,23,18
PYROXD2,141,129,120,82,98,388,152,242,165,576,313,382,186,400,462,290
HPS1,2524,1501,2156,1785,3801,6620,2461,4705,6099,6250,4040,7699,6448,6421,8743,8507
HPS1-AS1,17,12,19,12,28,37,20,15,39,32,29,43,56,37,81,54
HPSE2,13,0,2,0,6,10,4,2,0,0,0,0,3,6,11,8
CNNM1,134,80,70,116,104,16,72,60,44,46,38,24,42,23,22,26
GOT1,1125,376,298,334,1753,1043,333,721,2087,898,499,934,1842,1302,949,813
GOT1-DT,31,16,44,10,24,114,12,82,41,88,52,26,53,105,71,67
LINC01475,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,5
NKX2-3,0,0,4,0,0,0,0,0,0,0,0,8,0,4,0,0
SLC25A28,1828,1106,770,1392,2538,3968,882,5285,4131,4635,2141,7494,4285,4290,3148,6170
SLC25A28-DT,8,2,8,0,0,6,2,2,4,2,0,2,4,6,8,1
ENTPD7,540,325,238,138,766,559,280,400,1225,1098,473,773,879,1144,946,701
CUTC,535,246,285,181,882,1189,328,597,962,1043,711,812,1105,1081,986,783
COX15,916,384,423,399,1510,1782,574,990,1968,1800,990,1695,2315,2219,1680,1759
ABCC2,123,99,90,65,176,405,113,259,139,319,124,206,157,306,226,195
DNMBP,173,292,360,362,244,791,454,540,405,751,432,523,733,1044,1390,2011
DNMBP-AS1,22,29,52,53,51,113,35,42,49,75,36,52,98,113,144,248
CPN1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
ERLIN1,959,240,375,302,1626,1231,355,673,2152,1097,702,1361,2142,1377,1350,1131
CHUK,1886,612,792,628,2879,1927,773,1211,3845,1752,1103,2028,3583,2463,2385,2781
CHUK-DT,158,73,85,117,237,323,74,147,378,277,196,300,428,369,337,409
CWF19L1,1459,556,852,782,2054,2306,822,1367,3391,2446,1844,2710,3705,3362,3212,3792
BLOC1S2,1575,616,887,1265,2062,1699,984,1799,2968,1487,1303,2924,3049,2739,3048,5120
PKD2L1,2,0,3,35,6,0,17,64,12,4,4,32,18,0,37,366
SCD,1976,617,606,649,3710,1328,348,781,3819,1395,420,1244,3376,1487,2020,2571
OLMALINC,48,8,23,7,99,174,12,86,93,155,46,88,95,91,66,84
WNT8B,2,3,6,0,14,17,2,2,8,13,20,28,12,21,14,5
